//X Y Z Scalar_field
78006
-7.91084480 158.80712891 1.19577742 2007.000000
-7.92320824 158.79981995 1.19476223 -1968.000000
-7.93464279 158.81201172 1.48379445 992.000000
-7.93540001 158.81283569 1.50576425 1014.000000
-7.95060730 158.79667664 1.48374486 -1934.000000
-7.95343208 158.80006409 1.50570869 -1911.000000
-7.92428970 158.82185364 1.46234131 1471.000000
-7.93206024 158.80928040 1.46182847 2013.000000
-7.95009232 158.79649353 1.46128511 -1798.000000
-7.91236496 158.80880737 1.24020624 2022.000000
-7.88938332 158.83424377 1.30668545 -1843.000000
-7.88924789 158.83427429 1.26176357 -1923.000000
-7.88862228 158.83341980 1.28422642 -1866.000000
-7.92378807 158.80001831 1.23968267 1404.000000
-7.91115379 158.80776978 1.21774960 2011.000000
-7.92327499 158.79981995 1.21722317 -1593.000000
-7.94503593 158.79122925 1.30602455 -1707.000000
-7.93754196 158.78259277 1.26161289 -1911.000000
-7.94151306 158.78701782 1.28406239 -1752.000000
-7.91507530 158.81152344 1.30660582 2030.000000
-7.91311455 158.80964661 1.26217747 2028.000000
-7.92365074 158.80046082 1.26165676 2012.000000
-7.91432190 158.81068420 1.28463459 2047.000000
-7.92485619 158.80151367 1.28411388 2022.000000
-7.92561531 158.80233765 1.30608416 2024.000000
-7.88648033 158.83132935 1.32915497 -1923.000000
-7.88861847 158.83384705 1.35112095 -1945.000000
-7.89644623 158.84204102 1.43996596 -1945.000000
-7.92833710 158.80505371 1.37248373 2014.000000
-7.94246674 158.78785706 1.37292719 -1753.000000
-7.92681503 158.80339050 1.32805395 2024.000000
-7.92713356 158.80401611 1.35051394 2012.000000
-7.94598961 158.79164124 1.32799530 -1707.000000
-7.94353676 158.78890991 1.35046315 -1787.000000
-7.91735268 158.81405640 1.37349367 2015.000000
-7.91584206 158.81236267 1.32906485 2019.000000
-7.91683960 158.81385803 1.35103416 2011.000000
-7.92984962 158.80674744 1.41740155 2023.000000
-7.92909431 158.80589294 1.39494252 2018.000000
-7.94530487 158.79122925 1.39489245 -1718.000000
-7.92076492 158.81761169 1.43989015 1977.000000
-7.93060684 158.80760193 1.43937135 2026.000000
-7.94423103 158.79019165 1.41735649 -1662.000000
-7.94587708 158.79141235 1.43932366 -1537.000000
-7.91956520 158.81658936 1.41792154 2006.000000
-7.91810989 158.81491089 1.39595246 2011.000000
-7.93691826 158.81454468 1.55068207 424.000000
-7.90689850 158.85362244 1.48290563 -832.000000
-7.90696526 158.85362244 1.50585437 -957.000000
-7.90569687 158.85260010 1.46142507 -1298.000000
-7.93057632 158.82945251 1.48380899 -356.000000
-7.93064499 158.82943726 1.50626969 -844.000000
-7.86563301 158.88378906 1.50647068 -1957.000000
-7.89367294 158.86642456 1.48294687 -1162.000000
-7.88600731 158.85713196 1.46197224 -1514.000000
-7.89280319 158.86492920 1.50541019 -1049.000000
-7.90848732 158.85530090 1.54979634 -1060.000000
-7.90545464 158.85237122 1.52831984 -901.000000
-7.93001175 158.82859802 1.52873254 -833.000000
-7.93146515 158.83027649 1.55070043 -798.000000
-7.87406540 158.89392090 1.54990411 -1866.000000
-7.86984634 158.88885498 1.52794313 -1798.000000
-7.89639854 158.86915588 1.54983425 -1037.000000
-7.89331436 158.86512756 1.52786994 -867.000000
-7.95149231 158.79753113 1.55063653 -1934.000000
-7.93660355 158.81388855 1.52822185 844.000000
-7.95123291 158.79797363 1.52817607 -1945.000000
-7.90578461 158.87966919 1.61621404 -1570.000000
-7.91559601 158.86373901 1.61618257 -1650.000000
-7.90288353 158.87629700 1.57178807 -1105.000000
-7.91314507 158.86058044 1.57224417 -1002.000000
-7.91736412 158.86563110 1.59420443 -741.000000
-7.90388680 158.87777710 1.59424639 -1002.000000
-7.93518829 158.83404541 1.57266307 -798.000000
-7.93663597 158.83575439 1.59463239 -583.000000
-7.87481689 158.89474487 1.57187414 -1775.000000
-7.88061523 158.90106201 1.59383106 -1718.000000
-7.93692017 158.81497192 1.61757755 1648.000000
-7.92248154 158.81973267 1.61810899 -1049.000000
-7.93812180 158.81558228 1.57265186 527.000000
-7.93798637 158.81602478 1.59511328 925.000000
-7.95112038 158.79730225 1.57309866 -1923.000000
-7.95049095 158.79647827 1.59507346 -1889.000000
-7.94804192 158.79373169 1.61754155 -1889.000000
-7.93283272 158.80989075 1.64005017 -493.000000
